S.No.,Division/Seat No.,Name of Member,Lok Sabha,Session,State,Constituency,Total Sittings,No. of days member signed the register
128,183,Shri  K.  Sudhakaran                                        ,15,4,Kerala                                                      ,Kannur,32,21
129,185,Shri  M. K.  Raghavan                                          ,15,4,Kerala                                                      ,Kozhikode,32,19
130,186,Shri  K. P.  Dhanapalan                                        ,15,4,Kerala                                                      ,Chalakudy,32,32
131,187,Shri  Dara Singh  Chauhan                                           ,15,4,Uttar Pradesh                                               ,Ghosi,32,28
132,188,Shri    Lalu Prasad                                       ,15,4,Bihar                                                       ,Saran,32,29
133,189,Shri  Shibu  Soren                                             ,15,4,Jharkhand                                                   ,Dumka,32,2
134,190,Shri  T.K.S.  Elangovan                                         ,15,4,Tamil Nadu                                                  ,Chennai North,32,32
135,191,Shri  Sudip  Bandyopadhyay                                     ,15,4,West Bengal                                                 ,Kolkata Uttar,32,30
136,192,Smt.  Supriya  Sule                                              ,15,4,Maharashtra                                                 ,Baramati,32,31
137,193,Shri   Udayanraje  Bhonsle                                          ,15,4,Maharashtra                                                 ,Satara,32,12
138,194,Shri  Sameer  Bhujbal                                           ,15,4,Maharashtra                                                 ,Nashik,32,29
139,195,Shri  D.  Venugopal                                         ,15,4,Tamil Nadu                                                  ,Tiruvannamalai,32,24
140,196,Shri  Kalyan  Banerjee                                          ,15,4,West Bengal                                                 ,Sreerampur,32,25
141,197,Shri  A.K.S.  Vijayan                                           ,15,4,Tamil Nadu                                                  ,Nagapattinam,32,19
142,198,Shri  E.G.  Sugavanam                                         ,15,4,Tamil Nadu                                                  ,Krisnagiri,32,18
143,199,Shri    Adhi Sankar                                       ,15,4,Tamil Nadu                                                  ,Kallakurichi,32,16
144,200,Dr.  Sanjeev Ganesh  Naik                                              ,15,4,Maharashtra                                                 ,Thane,32,28
145,201,Shri  Asaduddin  Owaisi                                            ,15,4,Andhra Pradesh                                              ,Hyderabad,32,22
146,202,Shri  Sansuma Khunggur  Bwiswmuthiary                                     ,15,4,Assam                                                       ,Kokrajhar,32,16
147,203,Dr.  Raghuvansh Prasad  Singh                                             ,15,4,Bihar                                                       ,Vaishali,32,32
148,204,Shri  Hassan  Khan                                              ,15,4,Jammu and Kashmir                                           ,Ladakh,32,32
149,205,Shri  Sadashivrao Dadoba  Mandlik                                           ,15,4,Maharashtra                                                 ,Kolhapur,32,16
150,206,Shri  R.  Thamaraiselvan                                    ,15,4,Tamil Nadu                                                  ,Dharmapuri,32,24
151,207,Shri    Abdul Rahman                                      ,15,4,Tamil Nadu                                                  ,Vellore,32,23
